"","state","cases","deaths","date","full","lat","long"
"189","AK","44.0","0.0",2020-09-22,"Alaska","64.0685","-152.2782"
"190","AK","15.0","1.0",2020-06-12,"Alaska","64.0685","-152.2782"
"191","AK","39.0","0.0",2020-07-02,"Alaska","64.0685","-152.2782"
"192","AK","35.0","0.0",2020-08-06,"Alaska","64.0685","-152.2782"
"193","AK","495.0","4.0",2020-11-11,"Alaska","64.0685","-152.2782"
"194","AK","94.0","0.0",2020-07-12,"Alaska","64.0685","-152.2782"
"195","AK","760.0","8.0",2020-12-03,"Alaska","64.0685","-152.2782"
"196","AK","1.0","0.0",2020-05-27,"Alaska","64.0685","-152.2782"
"197","AK","0.0","0.0",2020-05-13,"Alaska","64.0685","-152.2782"
"198","AK","98.0","0.0",2020-08-09,"Alaska","64.0685","-152.2782"
"199","AK","103.0","0.0",2020-08-16,"Alaska","64.0685","-152.2782"
"200","AK","64.0","0.0",2020-08-10,"Alaska","64.0685","-152.2782"
"201","AK","0.0","0.0",2020-01-27,"Alaska","64.0685","-152.2782"
"202","AK","403.0","0.0",2021-01-08,"Alaska","64.0685","-152.2782"
"203","AK","350.0","1.0",2020-11-02,"Alaska","64.0685","-152.2782"
"204","AK","279.0","0.0",2021-01-17,"Alaska","64.0685","-152.2782"
"205","AK","90.0","0.0",2020-08-29,"Alaska","64.0685","-152.2782"
"206","AK","40.0","0.0",2020-07-17,"Alaska","64.0685","-152.2782"
"207","AK","173.0","0.0",2021-01-11,"Alaska","64.0685","-152.2782"
"208","AK","20.0","0.0",2020-06-20,"Alaska","64.0685","-152.2782"
"209","AK","0.0","0.0",2020-01-30,"Alaska","64.0685","-152.2782"
"210","AK","93.0","1.0",2020-09-11,"Alaska","64.0685","-152.2782"
"211","AK","0.0","0.0",2020-02-22,"Alaska","64.0685","-152.2782"
"212","AK","1.0","1.0",2020-05-06,"Alaska","64.0685","-152.2782"
"213","AK","13.0","0.0",2020-05-28,"Alaska","64.0685","-152.2782"
"214","AK","0.0","0.0",2020-02-04,"Alaska","64.0685","-152.2782"
"215","AK","24.0","0.0",2020-06-25,"Alaska","64.0685","-152.2782"
"216","AK","53.0","0.0",2020-08-04,"Alaska","64.0685","-152.2782"
"217","AK","0.0","0.0",2020-03-02,"Alaska","64.0685","-152.2782"
"218","AK","388.0","0.0",2020-11-03,"Alaska","64.0685","-152.2782"
"219","AK","124.0","0.0",2020-09-10,"Alaska","64.0685","-152.2782"
"220","AK","114.0","4.0",2020-09-27,"Alaska","64.0685","-152.2782"
"221","AK","255.0","0.0",2020-10-11,"Alaska","64.0685","-152.2782"
"222","AK","13.0","1.0",2020-04-08,"Alaska","64.0685","-152.2782"
"223","AK","18.0","0.0",2020-06-03,"Alaska","64.0685","-152.2782"
"224","AK","404.0","0.0",2020-11-04,"Alaska","64.0685","-152.2782"
"225","AK","0.0","0.0",2020-03-07,"Alaska","64.0685","-152.2782"
"226","AK","3.0","0.0",2020-03-18,"Alaska","64.0685","-152.2782"
"227","AK","67.0","0.0",2020-08-19,"Alaska","64.0685","-152.2782"
"228","AK","19.0","0.0",2020-06-08,"Alaska","64.0685","-152.2782"
"229","AK","125.0","1.0",2021-01-19,"Alaska","64.0685","-152.2782"
"230","AK","68.0","1.0",2020-08-21,"Alaska","64.0685","-152.2782"
"231","AK","175.0","1.0",2020-12-29,"Alaska","64.0685","-152.2782"
"232","AK","20.0","2.0",2020-06-26,"Alaska","64.0685","-152.2782"
"233","AK","922.0","1.0",2020-12-05,"Alaska","64.0685","-152.2782"
"234","AK","16.0","1.0",2020-03-27,"Alaska","64.0685","-152.2782"
"235","AK","15.0","0.0",2020-06-19,"Alaska","64.0685","-152.2782"
"236","AK","1.0","0.0",2020-05-02,"Alaska","64.0685","-152.2782"
